Año(aaaa)-Mes(mm);Inflación total 1;Límite superior;Meta de inflación;Límite inferior
202305;12.36;4;3;2
202304;12.82;4;3;2
202303;13.34;4;3;2
202302;13.28;4;3;2
202301;13.25;4;3;2
202212;13.12;4;3;2
202211;12.53;4;3;2
202210;12.22;4;3;2
202209;11.44;4;3;2
202208;10.84;4;3;2
202207;10.21;4;3;2
202206;9.67;4;3;2
202205;9.07;4;3;2
202204;9.23;4;3;2
202203;8.53;4;3;2
202202;8.01;4;3;2
202201;6.94;4;3;2
202112;5.62;4;3;2
202111;5.26;4;3;2
202110;4.58;4;3;2
202109;4.51;4;3;2
202108;4.44;4;3;2
202107;3.97;4;3;2
202106;3.63;4;3;2
202105;3.3;4;3;2
202104;1.95;4;3;2
202103;1.51;4;3;2
202102;1.56;4;3;2
202101;1.6;4;3;2
202012;1.61;4;3;2
202011;1.49;4;3;2
202010;1.75;4;3;2
202009;1.97;4;3;2
202008;1.88;4;3;2
202007;1.97;4;3;2
202006;2.19;4;3;2
202005;2.85;4;3;2
202004;3.51;4;3;2
202003;3.86;4;3;2
202002;3.72;4;3;2
202001;3.62;4;3;2
201912;3.8;4;3;2
201911;3.84;4;3;2
201910;3.86;4;3;2
201909;3.82;4;3;2
201908;3.75;4;3;2
201907;3.79;4;3;2
201906;3.43;4;3;2
201905;3.31;4;3;2
201904;3.25;4;3;2
201903;3.21;4;3;2
201902;3.01;4;3;2
201901;3.15;4;3;2
201812;3.18;4;3;2
201811;3.27;4;3;2
201810;3.33;4;3;2
201809;3.23;4;3;2
201808;3.1;4;3;2
201807;3.12;4;3;2
201806;3.2;4;3;2
201805;3.16;4;3;2
201804;3.13;4;3;2
201803;3.14;4;3;2
201802;3.37;4;3;2
201801;3.68;4;3;2
201712;4.09;4;3;2
201711;4.12;4;3;2
201710;4.05;4;3;2
201709;3.97;4;3;2
201708;3.87;4;3;2
201707;3.4;4;3;2
201706;3.99;4;3;2
201705;4.37;4;3;2
201704;4.66;4;3;2
201703;4.69;4;3;2
201702;5.18;4;3;2
201701;5.47;4;3;2
201612;5.75;4;3;2
201611;5.96;4;3;2
201610;6.48;4;3;2
201609;7.27;4;3;2
201608;8.1;4;3;2
201607;8.97;4;3;2
201606;8.6;4;3;2
201605;8.2;4;3;2
201604;7.93;4;3;2
201603;7.98;4;3;2
201602;7.59;4;3;2
201601;7.45;4;3;2
201512;6.77;4;3;2
201511;6.39;4;3;2
201510;5.89;4;3;2
201509;5.35;4;3;2
201508;4.74;4;3;2
201507;4.46;4;3;2
201506;4.42;4;3;2
201505;4.41;4;3;2
201504;4.64;4;3;2
201503;4.56;4;3;2
201502;4.36;4;3;2
201501;3.82;4;3;2
201412;3.66;4;3;2
201411;3.65;4;3;2
201410;3.29;4;3;2
201409;2.86;4;3;2
201408;3.02;4;3;2
201407;2.89;4;3;2
201406;2.79;4;3;2
201405;2.93;4;3;2
201404;2.72;4;3;2
201403;2.51;4;3;2
201402;2.32;4;3;2
201401;2.13;4;3;2
201312;1.94;4;3;2
201311;1.76;4;3;2
201310;1.84;4;3;2
201309;2.27;4;3;2
201308;2.27;4;3;2
201307;2.22;4;3;2
201306;2.16;4;3;2
201305;2;4;3;2
201304;2.02;4;3;2
201303;1.91;4;3;2
201302;1.83;4;3;2
201301;2;4;3;2
201212;2.44;4;3;2
201211;2.77;4;3;2
201210;3.06;4;3;2
201209;3.08;4;3;2
201208;3.11;4;3;2
201207;3.03;4;3;2
201206;3.2;4;3;2
201205;3.44;4;3;2
201204;3.43;4;3;2
201203;3.4;4;3;2
201202;3.55;4;3;2
201201;3.54;4;3;2
201112;3.73;4;3;2
201111;3.96;4;3;2
201110;4.02;4;3;2
201109;3.73;4;3;2
201108;3.27;4;3;2
201107;3.42;4;3;2
201106;3.23;4;3;2
201105;3.02;4;3;2
201104;2.84;4;3;2
201103;3.19;4;3;2
201102;3.17;4;3;2
201101;3.4;4;3;2
201012;3.17;4;3;2
201011;2.59;4;3;2
201010;2.33;4;3;2
201009;2.28;4;3;2
201008;2.31;4;3;2
201007;2.24;4;3;2
201006;2.25;4;3;2
201005;2.07;4;3;2
201004;1.98;4;3;2
201003;1.84;4;3;2
201002;2.09;4;3;2
201001;2.1;4;3;2
200912;2;5.5;5;4.5
200911;2.37;5.5;5;4.5
200910;2.72;5.5;5;4.5
200909;3.21;5.5;5;4.5
200908;3.13;5.5;5;4.5
200907;3.28;5.5;5;4.5
200906;3.81;5.5;5;4.5
200905;4.77;5.5;5;4.5
200904;5.73;5.5;5;4.5
200903;6.14;5.5;5;4.5
200902;6.47;5.5;5;4.5
200901;7.18;5.5;5;4.5
200812;7.67;4.5;4;3.5
200811;7.73;4.5;4;3.5
200810;7.94;4.5;4;3.5
200809;7.57;4.5;4;3.5
200808;7.87;4.5;4;3.5
200807;7.52;4.5;4;3.5
200806;7.18;4.5;4;3.5
200805;6.39;4.5;4;3.5
200804;5.73;4.5;4;3.5
200803;5.93;4.5;4;3.5
200802;6.35;4.5;4;3.5
200801;6;4.5;4;3.5
200712;5.69;4.5;4;3.5
200711;5.41;4.5;4;3.5
200710;5.16;4.5;4;3.5
200709;5.01;4.5;4;3.5
200708;5.22;4.5;4;3.5
200707;5.77;4.5;4;3.5
200706;6.03;4.5;4;3.5
200705;6.23;4.5;4;3.5
200704;6.26;4.5;4;3.5
200703;5.78;4.5;4;3.5
200702;5.25;4.5;4;3.5
200701;4.71;4.5;4;3.5
200612;4.48;5;4.5;4
200611;4.31;5;4.5;4
200610;4.19;5;4.5;4
200609;4.58;5;4.5;4
200608;4.72;5;4.5;4
200607;4.32;5;4.5;4
200606;3.94;5;4.5;4
200605;4.04;5;4.5;4
200604;4.12;5;4.5;4
200603;4.11;5;4.5;4
200602;4.19;5;4.5;4
200601;4.56;5;4.5;4
200512;4.85;5.5;5;4.5
200511;5.1;5.5;5;4.5
200510;5.27;5.5;5;4.5
200509;5.02;5.5;5;4.5
200508;4.88;5.5;5;4.5
200507;4.91;5.5;5;4.5
200506;4.83;5.5;5;4.5
200505;5.04;5.5;5;4.5
200504;5.01;5.5;5;4.5
200503;5.03;5.5;5;4.5
200502;5.25;5.5;5;4.5
200501;5.43;5.5;5;4.5
200412;5.5;6;5.5;5
200411;5.82;6;5.5;5
200410;5.9;6;5.5;5
200409;5.97;6;5.5;5
200408;5.89;6;5.5;5
200407;6.19;6;5.5;5
200406;6.07;6;5.5;5
200405;5.37;6;5.5;5
200404;5.49;6;5.5;5
200403;6.21;6;5.5;5
200402;6.28;6;5.5;5
200401;6.19;6;5.5;5
200312;6.49;6;5.5;5
200311;6.13;6;5.5;5
200310;6.58;6;5.5;5
200309;7.11;6;5.5;5
200308;7.26;6;5.5;5
200307;7.04;6;5.5;5
200306;7.21;6;5.5;5
200305;7.73;6;5.5;5
200304;7.85;6;5.5;5
200303;7.6;6;5.5;5
200302;7.24;6;5.5;5
200301;7.39;6;5.5;5
200212;6.99;;6;
200211;7.07;;6;
200210;6.37;;6;
200209;5.97;;6;
200208;5.98;;6;
200207;6.16;;6;
200206;6.25;;6;
200205;5.84;;6;
200204;5.65;;6;
200203;5.89;;6;
200202;6.7;;6;
200201;7.37;;6;
200112;7.65;;8;
200111;7.78;;8;
200110;8.01;;8;
200109;7.97;;8;
200108;8.03;;8;
200107;8.09;;8;
200106;7.93;;8;
200105;7.87;;8;
200104;7.98;;8;
200103;7.81;;8;
200102;8.06;;8;
200101;8.49;;8;
200012;8.75;;10;
200011;8.82;;10;
200010;8.99;;10;
200009;9.2;;10;
200008;9.1;;10;
200007;9.29;;10;
200006;9.68;;10;
200005;10;;10;
200004;9.96;;10;
200003;9.73;;10;
200002;8.89;;10;
200001;8.25;;10;
199912;9.23;;15;
199911;9.65;;15;
199910;9.32;;15;
199909;9.33;;15;
199908;9.28;;15;
199907;8.78;;15;
199906;8.96;;15;
199905;9.98;;15;
199904;11.17;;15;
199903;13.51;;15;
199902;15.38;;15;
199901;17.18;;15;
199812;16.7;;16;
199811;16.35;;16;
199810;17.09;;16;
199809;17.8;;16;
199808;18.94;;16;
199807;20.27;;16;
199806;20.69;;16;
199805;20.67;;16;
199804;20.74;;16;
199803;19.24;;16;
199802;18.03;;16;
199801;17.84;;16;
199712;17.68;;18;
199711;17.81;;18;
199710;17.8;;18;
199709;18.01;;18;
199708;17.93;;18;
199707;17.88;;18;
199706;18.67;;18;
199705;18.6;;18;
199704;18.52;;18;
199703;18.93;;18;
199702;19.58;;18;
199701;20.62;;18;
199612;21.63;;17;
199611;21.88;;17;
199610;21.87;;17;
199609;21.55;;17;
199608;21.13;;17;
199607;20.57;;17;
199606;19.7;;17;
199605;19.78;;17;
199604;19.9;;17;
199603;20.2;;17;
199602;20.81;;17;
199601;20.24;;17;
199512;19.46;;18;
199511;20.13;;18;
199510;20.52;;18;
199509;20.79;;18;
199508;21.09;;18;
199507;21.5;;18;
199506;21.66;;18;
199505;21.3;;18;
199504;21.17;;18;
199503;21.33;;18;
199502;20.86;;18;
199501;21.04;;18;
199412;22.59;;19;
199411;22.16;;19;
199410;22.37;;19;
199409;22.31;;19;
199408;22.35;;19;
199407;22.69;;19;
199406;23.08;;19;
199405;23.86;;19;
199404;23.94;;19;
199403;23.41;;19;
199402;23.01;;19;
199401;22.5;;19;
199312;22.6;;22;
199311;22.37;;22;
199310;21.69;;22;
199309;21.43;;22;
199308;21.07;;22;
199307;20.46;;22;
199306;21.38;;22;
199305;22.21;;22;
199304;23.08;;22;
199303;24.18;;22;
199302;24.71;;22;
199301;24.82;;22;
